KeyMineProject,Property Name,Primary Commodity,Commodity Group,List of Owners,List of Royalty Holders,Development Stage,Activity Status,Latitude (degrees),Longitude (degrees),Coordinate Accuracy
67816,Guild-Skipjack,Gold,Precious Metals,Silver Predator Corporation (Owner) 100%,Resource Holdings Ltd. (GR),Exploration,Inactive,38.239000,-116.383000,Exact
67817,Yankee West,Gold,Precious Metals,Silver Predator Corporation (Owner) 100%,Orion Royalty Company LLC (NSR) 1%,NA,Active,39.675910,-115.541250,Approximate
67818,Flamingo,Gold,Precious Metals,Silver Predator Corporation (Owner) 100%,NA,NA,NA,38.607000,-116.035000,Approximate
67828,Shabah,Gold,Precious Metals,Saudi Arabian Mining Company (Owner) 100%,NA,Advanced Exploration,Inactive,25.750000,42.250000,Exact
67833,Koree,Gold,Precious Metals,NA,NA,Exploration,Inactive,-31.773000,146.157000,Exact
67840,Hasandag,Gold,Precious Metals,Koza Altin Isletmeleri A.S. (Owner) 100%,Franco-Nevada Corporation (NSR) 2%,Advanced Exploration,Active,38.142740,34.168300,Approximate
67841,Isikdere,Gold,Precious Metals,Koza Altin Isletmeleri A.S. (Owner) 100%,NA,Reserves Development,Active,40.215200,39.369370,Best Guess
67842,Vendome Sud,Gold,Precious Metals,BWR Exploration Inc. (Owner) 100%,Unnamed Owner (NSR) 2%,Exploration,Active,48.396300,-77.681410,Exact
67844,Harbey,Gold,Precious Metals,NA,NA,Grassroots,Inactive,48.925000,-124.157000,Exact
67847,Massicotte-East,Gold,Precious Metals,Unnamed Owner (Owner) 100%,NA,Grassroots,Inactive,49.751860,-78.450000,Approximate
67848,Opawica,Gold,Precious Metals,Stellar AfricaGold Inc. (Owner) 100%,NA,Exploration,Active,49.387360,-74.512580,Exact
67850,Shallow Flats,Gold,Precious Metals,NA,Mahdia Gold Corporation (Royalty),Exploration,Inactive,4.710000,-58.920000,Approximate
67853,CHG,Gold,Precious Metals,JM Capital II Corp. (Optionee) 60%; Cariboo Rose Resources Ltd. (Optionor) 40%,NA,Grassroots,Active,51.198150,-121.762400,Exact
67854,Corona,Gold,Precious Metals,NA,NA,Exploration,Active,-27.024000,118.570000,Exact
67855,Baker's,Gold,Precious Metals,Sunrise Resources Plc (Owner) 100%,NA,Exploration,Active,-26.795310,118.610010,Exact
67856,Lake Abitibi,Gold,Precious Metals,Trigon Metals Inc. (Owner) 100%,NA,Grassroots,Inactive,48.775000,-79.809000,Exact
67857,Stimson,Gold,Precious Metals,Trigon Metals Inc. (Owner) 100%,NA,Grassroots,Inactive,48.931670,-80.500740,Exact
67864,Rushton Lake,Gold,Precious Metals,Avarone Metals Inc. (Optionee) 100%; Anstag Mining Inc. (Optionor),NA,Grassroots,Inactive,55.030000,-102.390000,Exact
67867,Julieta,Gold,Precious Metals,NA,NA,Exploration,Inactive,-8.125050,-78.167530,Best Guess
67869,Rabbit North Regional,Gold,Precious Metals,Tower Resources Limited (Optionee) 100%; Unnamed Owner (Optionor),NA,Target Outline,Active,50.652000,-120.696000,Exact
67871,Gloucester,Gold,Precious Metals,Morgan Resources Corp. (Optionee) 100%; Unnamed Owner (Optionor),NA,Grassroots,Inactive,47.601000,-65.918670,Exact
67876,Barrel Springs,Gold,Precious Metals,Unnamed Owner (Owner) 55%; Equitorial Exploration Corp. (Owner) 45%,NA,Advanced Exploration,Inactive,40.784000,-118.733000,Exact
67877,Big Canyon,Gold,Precious Metals,Unnamed Owner (Owner) 55%; Equitorial Exploration Corp. (Owner) 45%,NA,Construction Started,Active,39.058400,-119.255940,Exact
