MineID	MineName	Owners	Development Stage	Activity Status	Lat	Lon
24907	Meadow Lake	Earth Sciences Inc (Optionee) 100%	Target Outline	Inactive	39.428330	-120.550000
24911	United Verde Extension	Arizona Resources Inc (Optionee) 100%	Closed	Inactive	34.753770	-112.112910
24917	Tybo	Pacific Silver Corp (Optionee) 100%; Silver King Mines Inc (Optionor)	Reserves Development	Inactive	38.368610	-116.402220
24920	Cracker Creek	Boise Cascade Minerals (Owner) 25%; Brooks Minerals Inc (Owner) 10%	Target Outline	Inactive	44.781670	-118.242760
24928	Comstock	Comstock Mining Inc. (Owner) 100%	Expansion	Active	39.276330	-119.663900
24930	Gold King Extension	San Juan Corp (Owner) 100%	Target Outline	Inactive	37.890830	-107.648330
24931	Big Horn	NA	Reserves Development	Inactive	34.355560	-117.743060
24932	Aurora	NA	Closed	Inactive	38.286390	-118.900830
24933	Como Placer	Apache Energy and Minerals (Owner)	NA	Inactive	39.221110	-105.090000
24934	Questa Blanca	Apache Energy and Minerals (Owner) 100%	Target Outline	Inactive	33.400000	-107.383330
24935	Trail Creek	Apache Energy and Minerals (Owner) 100%	Exploration	Inactive	39.732490	-105.614480
24936	Goldfield	American Pacific Minerals Ltd (Owner) 100%	Closed	Inactive	37.719740	-117.223280
24938	Specimen	Tundra Gold Mines Ltd (Owner) 100%	Exploration	Inactive	44.104720	-115.546670
24939	Siskon	NA	Target Outline	Inactive	41.578430	-123.642840
24944	Northumberland Mine	Newmont Mining Corporation (Owner) 100%	Reserves Development	Inactive	38.969170	-116.879720
24950	London	NA	Feasibility	Inactive	39.273060	-106.146390
24952	Cornucopia	NA	Exploration	Inactive	45.012660	-117.209620
24953	Trixie	Chief Consolidated Mining Company (Owner) 100%	Reserves Development	Active	40.003060	-112.067220
24954	Oatman	ASPA Gold Corp (Owner) 100%; North American Gold & Minerals Fund (Venture)	Target Outline	Inactive	34.892220	-114.363120
24958	Golden Wonder	LKA Gold Incorporated (Owner) 100%	Target Outline	Active	38.004170	-107.280000
24962	Montana Tunnels	"Eastern Resources, Inc. (Owner) 100%"	Operating	Care And Maintenance	46.371670	-112.133300
24964	Ophir	NA	Exploration	Inactive	38.722620	-105.152670
24965	Mountain Chief Mine	NA	Target Outline	Inactive	45.216670	-111.966670
24966	Bronco Verdstone Oakland	Private Interest (Owner) 100%	Reserves Development	Inactive	33.352500	-113.686390
24967	Wharf	"Coeur Mining, Inc. (Owner) 100%"	Operating	Active	44.356670	-103.836390
24968	McCabe	BHP Billiton Group (Owner) 100%	Closed	Inactive	34.477220	-112.291670
24969	Red Chief Mine	NA	Target Outline	Inactive	45.483060	-112.233330
24970	Santa Maria	NA	NA	Inactive	40.504440	-118.740830
